commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
Canned Sardines in tomato sauce,555,155g,24,89,24,23.5,24,23,23,23,23,23,23,23
Canned Sardines in tomato sauce,Atami,155g,20.5,23.75,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
Canned Sardines in tomato sauce,Atami,155g,20.5,,20.5,20.5,20.5,,20.45,,,,,
Canned Sardines in tomato sauce,Family's,155g,,,25.25,,,,,23,,24.25,25.25,24.25
Canned Sardines in tomato sauce,Family's,155g,23,,23,23,24,24,24,24,24,24,24,23
Canned Sardines in tomato sauce,Family's,155g,23.5,,23.25,25.5,24.85,24.85,24.25,24.25,24.25,24.25,24.25,24.25
Canned Sardines in tomato sauce,Family's,130g,15.25,,,15.25,15.25,,,,,,,
Canned Sardines in tomato sauce,Gold Cup,155g,23.3,,20.25,,20.35,21.5,23.65,22.5,20.25,20.25,20,20.75
Canned Sardines in tomato sauce,Golden Town,155g,,,25.5,30,30,23.05,22.45,22.45,22.45,,,
Canned Sardines in tomato sauce,Hakata,155g,25,,25,22.45,22.45,22.45,24,23.6,23.6,23.6,23.6,23.6
Canned Sardines in tomato sauce,Hakone,155g,24.4,,24.5,24,24.5,23,23,22.45,22.45,23,24,23.7
Canned Sardines in tomato sauce,King Cup,155g,18,,,18,18,,,,,,,
Canned Sardines in tomato sauce,King Cup,155g,21.75,,21.4,21.4,21.4,21.75,21.4,21.4,21.4,21.4,21.75,21.75
Canned Sardines in tomato sauce,Ligo,155g,24.5,,26.25,25.25,24.35,25,23.5,23.5,23.5,23.5,23.5,23.5
Canned Sardines in tomato sauce,Lucky 7,155g,18.75,,18.75,19.65,18.75,19.65,19.65,18.75,18.75,19.65,19.65,19.5
Canned Sardines in tomato sauce,Mariko,155g,19.75,,,19.75,19.75,,,21.45,,19.75,,
Canned Sardines in tomato sauce,Master,155g,,,23.75,26,25,,,,25.75,25.75,25,26
Canned Sardines in tomato sauce,Master,155g,24.75,,25.25,25.65,26.25,24.25,25.65,24.5,24.5,24.5,24.5,23.25
Canned Sardines in tomato sauce,Mega,155g,23.75,,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75
Canned Sardines in tomato sauce,Mikado,155g,21.25,,,20.5,21.25,,21.25,21.25,21.25,,,
Canned Sardines in tomato sauce,Mikado,155g,20.5,,,20.5,20.5,,,20.5,20.5,20.5,20.5,20.5
Canned Sardines in tomato sauce,Paradiso,155g,,,,,27.25,27.25,,27.75,,,,
Canned Sardines in tomato sauce,Rose Bowl,155g,22.15,,24.4,26,26,25,26,25,25,26,25.25,25.25
Canned Sardines in tomato sauce,Saba Philippines,155g,17.5,,,17.5,17.5,,,,,,,
Canned Sardines in tomato sauce,Saba Philippines,155g,17.25,,,17.25,17.25,,,,,,,
Canned Sardines in tomato sauce,Sallenas Sardines,155g,18.5,,,18.5,18.5,,,,,,,
Canned Sardines in tomato sauce,Sea Point,155g,20.75,,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75
Canned Sardines in tomato sauce,Señorita,155g,25,,23.7,24,24.25,25.5,23.1,25,23.1,25,25,25
Canned Sardines in tomato sauce,SM Bonus,155g,22.95,,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95
Canned Sardines in tomato sauce,Swan,155g,24.5,,27,23.65,23.65,24.5,23.2,23.2,23.2,24,22.8,25
Canned Sardines in tomato sauce,Toyo,155g,19.5,,,19.5,19.5,,,,,,,
Canned Sardines in tomato sauce,Toyo,155g,18.7,,,18.7,18.7,,,,,,,
Canned Sardines in tomato sauce,Uni-Pak,155g,23.5,,23.5,24.75,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
Canned Sardines in tomato sauce,Vinta,155g,,,22.95,23.5,23.5,,,,20.5,25.3,24.75,24.75
Canned Sardines in tomato sauce,Young's Town,155g,23.25,,23.25,23.25,23.25,23.25,23.25,22.5,22.5,22.8,23.25,23.25
Coffee,Great Taste,25g,21,,21,22,24,23.75,24,24,24,26.25,26.25,26.75
Coffee,Great Taste,50g,41,,41,43,48.75,48.75,47.5,47.5,47.5,51.25,53.25,53.25
Coffee,Great Taste,100g,77.6,,77.6,86.55,93,98,104.4,95.5,95.5,101.25,107,108
Coffee,Great Taste,25g,19.75,,19.75,21.5,24.5,24.5,24.25,24.25,24.25,26.1,26.5,26.3
Coffee,Great Taste,50g,,,37.5,42,46.25,46.25,50,46.25,46.25,50,51.55,51.8
Coffee,Great Taste,100g,72.95,,72.95,82.65,90.75,90.75,90.75,90.75,90.75,99.1,106,106
Coffee,Kopi Juan,50g,33,,33,33,33,33,33,33,33,34.75,34.75,34.75
Coffee,Nescafe,23g,22.5,,24.5,25.25,25,24.9,27.25,26.5,29,,,
Coffee,Nescafe,46g,44,,48,49.25,52,48.5,49,53,,,,
Coffee,Nescafe,92g,86.75,,96,96,94,98,108.75,105.05,106.25,,,
Coffee,Blend 45,25g,18.5,,18.5,20.25,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
Coffee,Blend 45,100g,68,,70,75.25,85,85,82.5,82.5,82.5,85,85,85
Coffee,Cafe Puro,25g,22.5,,22,24.5,24.5,23.25,23.25,26.25,26.25,26.25,26.25,26.25
Coffee,Cafe Puro,50g,44.95,,44.95,46.5,48.45,48.45,48.45,53.3,52.25,52.25,53.3,52.25
Coffee,Cafe Puro,100g,84.5,,94.5,92.5,110.5,95.85,95.85,101.85,101.85,101.85,117.35,101.85
Coffee 3-in-1,Blend 45,18g,4.5,,4.1,4.5,4.5,4.5,5.5,5.5,5.5,5.5,4.95,5
Coffee 3-in-1,Cafe Puro,17g,4.7,,,4.7,4.7,,,,,,,
Coffee 3-in-1,Great Taste,33g,8.25,,8.25,8.25,8.25,8.25,10,9.05,9.05,10,9.5,9.5
Coffee 3-in-1,Kopi Juan,25g,4.75,,4.75,4.75,5,5,5,5,5,5,,
