commodity,brand,specification,jan,feb
Salt - Iodized Refined,Fidel,1kg,39,39
Salt - Iodized Refined,Fidel,1kg,35.5,35.5
Coffee Refill,Nescafe,20g,26.5,26.5
Coffee Refill,Nescafe,40g,51.75,51.75
Coffee Refill,Nescafe,80g,102.75,102.75
Processed Milk - Condensada,Jolly Cow,390g,51.95,51.95
Processed Milk - Powdered,Birch Tree,135g,42.5,42.5
Candles,Liwanag,20 pcs./pack,123,123
Candles,Liwanag,6 pcs. / pack,129.75,129.75
Candles,Liwanag,6 pcs. / pack,112,89
Candles,Manila Wax,10 pcs./pack,,
Coffee,Great Taste,40g,51.25,51.25
Coffee,Great Taste,80g,110,110
Coffee,Great Taste,40g,51.5,50
Coffee,Great Taste,80g,102.25,102.25
Canned Sardines in tomato sauce,Golden Town,155g,23.05,23.05
Coffee 3-in-1,Kopi Juan,25g,5,5
Coffee,Great Taste,20g,26.75,26.75
Coffee,Great Taste,20g,26.5,26.1
PRODUCT CATEGORY,BRAND NAME,"SPECIFICATION (size, unit, weight, height, etc.)",JAN,FEB
Battery,Energizer,4pcs/pack,206.25,206.25
Battery,Eveready,2pcs/pack,77.75,77.75
Canned Beef - Beef Loaf,Argentina,150g,20,21
Canned Beef - Beef Loaf,Argentina,170g,24,25
Canned Beef - Beef Loaf,Argentina,250g,31.25,31.25
Canned Beef - Beef Loaf,Bingo,150g,19.5,19.5
Canned Beef - Beef Loaf,CDO,150g,21,21
Canned Beef - Beef Loaf,El Rancho,155g,19.5,19.5
Canned Beef - Beef Loaf,Senorita,150g,21.5,21.5
Canned Beef - Beef Loaf,Winner,150g,0,23.1
Canned Beef - Corned Beef,555,100g,20.5,20.5
Canned Beef - Corned Beef,555,150g,29.5,29.5
Canned Beef - Corned Beef,555,175g,35,35
Canned Beef - Corned Beef,Argentina,100g,27,27
Canned Beef - Corned Beef,Argentina,150g,35,35
Canned Beef - Corned Beef,Argentina,175g,40.75,40.75
Canned Beef - Corned Beef,Argentina,260g,57.5,58.25
Canned Beef - Corned Beef,Bingo,100g,16,16
Canned Beef - Corned Beef,Bingo,150g,23,23
Canned Beef - Corned Beef,CDO,150g,34.75,34.75
Canned Beef - Corned Beef,CDO,260g,58.75,58.75
Canned Beef - Corned Beef,CDO,100g,20.5,20.5
Canned Beef - Corned Beef,CDO,175g,33.5,33.5
Canned Beef - Corned Beef,CDO,260g,47.75,47.75
Canned Beef - Corned Beef,Highlands,150g,57.5,57.5
Canned Beef - Corned Beef,Highlands,180g,68.75,68.75
Canned Beef - Corned Beef,Highlands,260g,97,97
Canned Beef - Corned Beef,Lucky 7,100g,16.75,16.75
Canned Beef - Corned Beef,Lucky 7,150g,19.75,19.75
Canned Beef - Corned Beef,Lucky 7,210g,29.25,29.25
Canned Beef - Corned Beef,Montenero,210g,77,77
Canned Beef - Corned Beef,Purefoods,150g,86,86
Canned Beef - Corned Beef,Purefoods,210g,119,119
Canned Beef - Corned Beef,SM Bonus,175g,34.75,34.75
Canned Beef - Corned Beef,Star,175g,0,
Canned Beef - Corned Beef,Star,150g,34,34
Canned Beef - Corned Beef,Wagi,150g,21,21
Canned Beef - Corned Beef,Young's Town,150g,34.25,34.25
Canned Pork - Luncheon Meat,CDO,165g,41,41
Canned Pork - Luncheon Meat,CDO,220g,54.75,54.75
Canned Pork - Luncheon Meat,CDO,350g,84,84
Canned Pork - Luncheon Meat,La Filipina,190g,94,94
Canned Pork - Luncheon Meat,Liberty,165g,33,33
Canned Pork - Luncheon Meat,Liberty,375g,84.5,79
Canned Pork - Luncheon Meat,Philips,350g,90,90
Canned Pork - Luncheon Meat,Purefoods,165g,33.5,33.5
Canned Pork - Luncheon Meat,Purefoods,230g,84.45,84.45
Canned Pork - Luncheon Meat,Purefoods,350g,86,86
Canned Pork - Luncheon Meat,Shanghai,375g,85,85
Canned Pork - Luncheon Meat,SM Bonus,340g,72.5,72.5
Canned Pork - Luncheon Meat,Wagi,340g,75,75
Canned Pork - Meat Loaf,Argentina,100g,17.25,17.25
Canned Pork - Meat Loaf,Argentina,150g,20,20
Canned Pork - Meat Loaf,Argentina,170g,23.5,23.5
Canned Pork - Meat Loaf,Argentina,250g,35.75,33.4
Canned Pork - Meat Loaf,Bingo,150g,21.25,20.25
Canned Pork - Meat Loaf,CDO,150g,21.75,21.75
Canned Pork - Meat Loaf,Lucky 7,150g,20.5,20.5
Canned Pork - Meat Loaf,Philips,150g,22,22
Canned Pork - Meat Loaf,Philips,200g,28,28
Canned Pork - Meat Loaf,Star,150g,22.75,22.75
Canned Pork - Meat Loaf,Winner,150g,18,18
Condiments - Patis,Datu Puti,350ml,26,26
Condiments - Patis,Datu Puti,1L,78.5,78.5
Condiments - Patis,Lorins,350ml,21.25,21.25
Condiments - Patis,Lorins,350ml,23.25,23.25
Condiments - Patis,Lorins,150ml,11.5,11.5
Condiments - Patis,Marca Pina,1L,77.5,77.5
Condiments - Patis,Silver Swan,100ml,10,10
Condiments - Patis,Silver Swan,350ml,24.5,24.5
Condiments - Soy Sauce,Coconut,350ml,54.5,54.5
Condiments - Soy Sauce,Coconut,1L,123.5,123.5
Condiments - Soy Sauce,Datu Puti,100ml,6.6,6.6
Condiments - Soy Sauce,Datu Puti,200ml,10.5,10
Condiments - Soy Sauce,Datu Puti,350ml,19.75,19.75
Condiments - Soy Sauce,Datu Puti,385ml,22,22
Condiments - Soy Sauce,Datu Puti,1L,51,51
Condiments - Soy Sauce,Datu Puti,1L,48,48
