quantile,variable,coef,std_err,p_value,ci_lower,ci_upper,commodity
0.25,const,-1.1416384525411667e-07,1.3679984579422167e-08,6.506152292500417e-15,-1.4111733637013112e-07,-8.721035413810222e-08,patis
0.25,brent_ret_lag0,8.593289927441713e-07,3.3841302505392073e-07,0.011765123814488833,1.92558324153278e-07,1.5260996613350647e-06,patis
0.25,brent_ret_lag1,-1.1292554231846325e-06,3.6706013969612003e-07,0.0023472299453039178,-1.8524691195819637e-06,-4.060417267873014e-07,patis
0.25,brent_ret_lag2,3.3335854819289194e-07,2.8965222166630985e-07,0.2509664078321043,-2.373393599875352e-07,9.040564563733191e-07,patis
0.25,brent_ret_lag3,8.455251617367954e-07,3.704894306128625e-07,0.023388716602503138,1.1555477919541079e-07,1.57549554427818e-06,patis
0.25,brent_ret_lag4,6.558694271531558e-07,2.93632129055212e-07,0.026464767451432565,7.732996053919823e-08,1.2344088937671134e-06,patis
0.5,const,-8.884084544928678e-10,4.1060900505201596e-09,0.8288952782033987,-8.978582902841933e-09,7.2017659938561975e-09,patis
0.5,brent_ret_lag0,4.7021207261055334e-07,8.775045810541343e-08,2.0277346484944318e-07,2.9731851565960227e-07,6.431056295615044e-07,patis
0.5,brent_ret_lag1,-6.639710518149234e-07,8.876333413053742e-08,1.5386419220158336e-12,-8.388602648856826e-07,-4.890818387441643e-07,patis
0.5,brent_ret_lag2,3.0477304036357615e-07,8.815539558112464e-08,0.0006495370795603731,1.3108164050638806e-07,4.784644402207642e-07,patis
0.5,brent_ret_lag3,2.2263808580179485e-07,8.821603294606761e-08,0.012282055509168565,4.8827212953405614e-08,3.964489586501841e-07,patis
0.5,brent_ret_lag4,4.416597578137715e-07,8.763951150854827e-08,9.41857760641369e-07,2.689847974625165e-07,6.143347181650265e-07,patis
0.75,const,1.1057969315835366e-07,1.7558834003948615e-08,1.5084528881059859e-09,7.598375676783236e-08,1.4517562954887495e-07,patis
0.75,brent_ret_lag0,6.99209607210173e-07,4.2305026555982486e-07,0.0997338149253879,-1.343206872279173e-07,1.5327399016482635e-06,patis
0.75,brent_ret_lag1,-1.042004567851676e-06,4.394525441783254e-07,0.018554757129354567,-1.907852053033619e-06,-1.7615708266973314e-07,patis
0.75,brent_ret_lag2,6.444004393163363e-07,4.5595410142639274e-07,0.1589132859306637,-2.539598439688464e-07,1.542760722601519e-06,patis
0.75,brent_ret_lag3,-2.824072793176496e-07,3.082736739828691e-07,0.36057360372022507,-8.897947865738432e-07,3.2498022793854397e-07,patis
0.75,brent_ret_lag4,6.52632513609753e-07,4.332384168177348e-07,0.13332947992958322,-2.009713593345411e-07,1.506236386554047e-06,patis
0.9,const,4.3498276882839645e-07,6.956371906622759e-08,1.92756229278828e-09,2.979223011821904e-07,5.720432364746025e-07,patis
0.9,brent_ret_lag0,1.6245025313010402e-06,1.6000391364603465e-06,0.31103018795605775,-1.528033233595343e-06,4.777038296197423e-06,patis
0.9,brent_ret_lag1,-2.498108950273604e-06,2.066115444180437e-06,0.22786630312827852,-6.5689486464781395e-06,1.5727307459309318e-06,patis
0.9,brent_ret_lag2,1.7968170483717156e-06,2.085787218878894e-06,0.3898794428283151,-2.312781683085584e-06,5.906415779829015e-06,patis
0.9,brent_ret_lag3,-1.8494435074599393e-06,9.6990123107644e-07,0.057782439612041124,-3.7604269638707165e-06,6.153994895083792e-08,patis
0.9,brent_ret_lag4,1.5036796357806756e-06,1.9554488319774296e-06,0.4426971832060024,-2.349115110772376e-06,5.3564743823337275e-06,patis
0.1,const,-3.7132434599513333e-07,3.3574818260391205e-08,4.2758798736457715e-23,-4.374763625013887e-07,-3.0517232948887793e-07,salt_iodized
0.1,brent_ret_lag0,1.36704310616699e-06,1.0498831474627837e-06,0.1941822094634346,-7.015276530835821e-07,3.4356138654175622e-06,salt_iodized
0.1,brent_ret_lag1,3.988234783180647e-06,1.1597699136449278e-06,0.0006930166558738406,1.7031555944897927e-06,6.2733139718715026e-06,salt_iodized
0.1,brent_ret_lag2,1.198341302547883e-06,6.222216782966383e-07,0.05534336341025577,-2.7613769315833844e-08,2.4242963744116e-06,salt_iodized
0.1,brent_ret_lag3,2.1233038878036664e-06,9.31872396784063e-07,0.02360859976159037,2.8724813626719283e-07,3.95935963934014e-06,salt_iodized
0.1,brent_ret_lag4,9.417897543544972e-07,5.719361415270944e-07,0.1009857359597546,-1.8508839525736956e-07,2.068667903966364e-06,salt_iodized
0.25,const,-9.61682215016949e-08,9.044456325730071e-09,9.41768777210306e-22,-1.1398839314073656e-07,-7.834804986265324e-08,salt_iodized
0.25,brent_ret_lag0,4.829014878088097e-07,2.153489216527328e-07,0.025884206363908493,5.860238038573686e-08,9.072005952318826e-07,salt_iodized
0.25,brent_ret_lag1,1.6088357611034938e-06,2.612360770460526e-07,3.2253390608202913e-09,1.0941258035765782e-06,2.1235457186304095e-06,salt_iodized
0.25,brent_ret_lag2,4.935576501629687e-07,1.95256215074326e-07,0.012148130042481595,1.0884693446019186e-07,8.782683658657456e-07,salt_iodized
0.25,brent_ret_lag3,6.010036940402056e-07,1.7753044295786206e-07,0.0008352074424284668,2.512178306639646e-07,9.507895574164466e-07,salt_iodized
0.25,brent_ret_lag4,1.65691097231034e-07,1.7759909027818654e-07,0.3518198196677955,-1.842300210446377e-07,5.156122155067057e-07,salt_iodized
0.5,const,-1.8222013294164089e-09,3.1927603451748034e-09,0.568738036290874,-8.112854443797861e-09,4.4684517849650436e-09,salt_iodized
0.5,brent_ret_lag0,2.496909511850643e-07,6.82318652203924e-08,0.00031320004972330894,1.1525461740342022e-07,3.8412728496670836e-07,salt_iodized
0.5,brent_ret_lag1,7.530444135363251e-07,6.90194442475948e-08,1.2638966257245604e-22,6.170563233042541e-07,8.89032503768396e-07,salt_iodized
0.5,brent_ret_lag2,2.495596576333125e-07,6.85467312605471e-08,0.00033553882313910335,1.1450294749329078e-07,3.846163677733342e-07,salt_iodized
0.5,brent_ret_lag3,1.0775482581882286e-07,6.859388087778486e-08,0.1175722124723691,-2.7394782583032648e-08,2.4290443422067837e-07,salt_iodized
0.5,brent_ret_lag4,-5.4383780121606735e-08,6.8145596801886e-08,0.4256595290217108,-1.886501403891503e-07,7.988258014593683e-08,salt_iodized
0.75,const,8.255292885304715e-08,1.1462358580141397e-08,8.297374979599298e-12,5.996879665869178e-08,1.0513706104740251e-07,salt_iodized
0.75,brent_ret_lag0,3.3564922992836037e-07,2.459244270595261e-07,0.17362903674877656,-1.4889238789851178e-07,8.201908477552325e-07,salt_iodized
0.75,brent_ret_lag1,8.780621760366742e-07,3.281662927866521e-07,0.007992005850025494,2.3148050733321127e-07,1.5246438447401372e-06,salt_iodized
0.75,brent_ret_lag2,3.3803148172813847e-07,2.2975313752092518e-07,0.1425760106187503,-1.1464806005744714e-07,7.907110235137241e-07,salt_iodized
0.75,brent_ret_lag3,-1.790218758795763e-07,2.405708380163017e-07,0.4575392999065373,-6.53015388635307e-07,2.949716368761543e-07,salt_iodized
0.75,brent_ret_lag4,-3.654220759452782e-07,2.5225779098280236e-07,0.14880375430183299,-8.624422362185575e-07,1.3159808432800104e-07,salt_iodized
0.9,const,3.295440657655123e-07,1.0670529999563142e-07,0.0022590563503154335,1.1930403670947137e-07,5.397840948215533e-07,salt_iodized
0.9,brent_ret_lag0,7.135602537281976e-07,2.218971324298786e-06,0.7480673319794244,-3.6584493438662787e-06,5.085569851322674e-06,salt_iodized
0.9,brent_ret_lag1,1.5338911286489094e-06,2.99102670807689e-06,0.608559613330146,-4.3592888918301545e-06,7.427071149127973e-06,salt_iodized
0.9,brent_ret_lag2,6.559526404349289e-07,1.8523103090846693e-06,0.7235669219377274,-2.9936296504045004e-06,4.305534931274358e-06,salt_iodized
0.9,brent_ret_lag3,-1.1661968262636636e-06,2.134751181718478e-06,0.5853926832583672,-5.3722686004893595e-06,3.0398749479620322e-06,salt_iodized
0.9,brent_ret_lag4,-1.4142042457122207e-06,2.2266734937375735e-06,0.5259789334795412,-5.801389324999467e-06,2.9729808335750257e-06,salt_iodized
0.1,const,-2.2275195527041914e-07,1.7463252045038628e-08,1.4597262854570944e-28,-2.571595678024321e-07,-1.883443427384062e-07,salt_iodized_rock
0.1,brent_ret_lag0,3.3062846887534247e-06,6.385044912113952e-07,4.872278404137554e-07,2.048247807828183e-06,4.564321569678667e-06,salt_iodized_rock
0.1,brent_ret_lag1,-7.912156975689637e-11,4.1183572822724404e-07,0.9998468768273011,-8.115135627114471e-07,8.113553195719333e-07,salt_iodized_rock
